,City,Ward,Latitude,Longitude
0,Osaka,Abeno-ku,34.627501,135.514095
1,Osaka,Asahi-ku,34.726483,135.546952
2,Osaka,Chūō-ku,34.679846,135.510316
3,Osaka,Fukushima-ku,34.692104,135.474812
4,Osaka,Higashinari-ku,34.672912,135.550567
5,Osaka,Higashisumiyoshi-ku,34.615662,135.531096
6,Osaka,Higashiyodogawa-ku,34.740212,135.517432
7,Osaka,Hirano-ku,34.603715,135.559027
8,Osaka,Ikuno-ku,34.653003,135.547722
9,Osaka,Jōtō-ku,34.693887,135.547769
10,Osaka,Kita-ku,34.712209,135.50565
11,Osaka,Konohana-ku,34.676245,135.43555
12,Osaka,Minato-ku,34.662683,135.453854
13,Osaka,Miyakojima-ku,34.712703,135.529697
14,Osaka,Naniwa-ku,34.66283,135.490485
15,Osaka,Nishi-ku,34.674598,135.476774
16,Osaka,Nishinari-ku,34.639074,135.490813
17,Osaka,Nishiyodogawa-ku,34.705938,135.442936
18,Osaka,Suminoe-ku,34.614132,135.466545
19,Osaka,Sumiyoshi-ku,34.599765,135.506426
20,Osaka,Taishō-ku,34.65064,135.46957
21,Osaka,Tennōji-ku,34.655043,135.51837
22,Osaka,Tsurumi-ku,34.7068308,135.5806722
23,Osaka,Yodogawa-ku,34.726613,135.483397
24,Tokyo,Chiyoda,35.6938097,139.7532163
25,Tokyo,Chūō,35.666255,139.775565
26,Tokyo,Minato,35.6432274,139.7400553
27,Tokyo,Shinjuku,35.6937632,139.7036319
28,Tokyo,Bunkyō,35.71881,139.744732
29,Tokyo,Taitō,35.71745,139.790859
30,Tokyo,Sumida,35.700429,139.805017
31,Tokyo,Kōtō,35.649154,139.81279
32,Tokyo,Shinagawa,35.599252,139.73891
33,Tokyo,Meguro,35.62125,139.688014
34,Tokyo,Ōta,35.561206,139.715843
35,Tokyo,Setagaya,35.646096,139.65627
36,Tokyo,Shibuya,35.6645956,139.6987107
37,Tokyo,Nakano,35.718123,139.664468
38,Tokyo,Suginami,35.6994929,139.6362876
39,Tokyo,Toshima,35.736156,139.714222
40,Tokyo,Kita,35.6820678,139.7655776
41,Tokyo,Arakawa,35.737529,139.78131
42,Tokyo,Itabashi,35.774143,139.681209
43,Tokyo,Nerima,35.74836,139.638735
44,Tokyo,Adachi,35.6820678,139.7655776
45,Tokyo,Katsushika,35.751733,139.863816
46,Tokyo,Edogawa,35.678278,139.871091
